Date,Open,High,Low,Close,Volume,Adj Close,Drawdown
2011-03-09,10594.5,10602.4,10497.3,10559.5,411425000,10559.5,-0.3377838539543576
2011-03-10,10444.9,10479.3,10351.2,10435.6,243919000,10435.6,-0.3455539737985788
2011-03-11,10346.2,10452.8,10313.6,10398.4,256479000,10398.4,-0.3478868911367955
2011-03-14,10386.2,10637.7,10364.5,10415.9,505812000,10415.9,-0.34678941658252693
2011-03-15,10250.2,10376.9,10076.5,10329.7,471079000,10329.7,-0.3521952626726954
2011-03-16,10372.2,10422.2,10079.9,10092.6,358245000,10092.6,-0.3670644750622425
2011-03-17,10183.7,10375.0,10085.5,10325.6,0,10325.6,-0.3524523852825526
2011-03-18,10382.8,10448.6,10262.1,10328.4,370068000,10328.4,-0.35227678935386975
2011-03-21,10473.7,10574.4,10418.9,10574.4,223977000,10574.4,-0.3368494327624375
2011-03-22,10584.8,10734.3,10549.7,10576.1,269854000,10576.1,-0.3367428209485942
2011-03-23,10548.4,10658.9,10512.1,10638.0,246215000,10638.0,-0.3328608966680672
2011-03-24,10545.3,10766.0,10522.0,10755.6,246475000,10755.6,-0.3254858676633825
2011-03-25,10776.1,10801.1,10702.4,10710.4,171675000,10710.4,-0.328320487654979
2011-03-28,10721.7,10766.0,10677.8,10751.0,149945000,10751.0,-0.325774346689076
2011-03-29,10760.0,10778.1,10658.7,10735.0,198381000,10735.0,-0.3267777519958358
2011-03-30,10816.9,10830.4,10699.2,10732.3,201587000,10732.3,-0.3269470766413516
2011-03-31,10755.8,10784.8,10570.9,10576.5,247985000,10576.5,-0.33671773581592523
2011-04-01,10657.2,10729.9,10580.6,10729.9,212310000,10729.9,-0.3270975874373655
2011-04-04,10710.2,10813.9,10661.7,10756.1,172979000,10756.1,-0.3254545112475463
2011-04-05,10742.3,10749.3,10624.6,10678.6,222697000,10678.6,-0.3303147557021642
2011-04-06,10686.4,10882.3,10658.7,10845.1,241416000,10845.1,-0.31987306922869485
2011-04-07,10836.8,10928.1,10778.4,10849.1,274742000,10849.1,-0.31962221790200485
2011-04-08,10916.6,10950.1,10885.3,10913.2,184078000,10913.2,-0.31560232539179833
2011-04-11,10896.2,10958.2,10860.1,10878.3,156876000,10878.3,-0.31779100321716824
2011-04-12,10812.5,10882.3,10756.2,10784.5,219734000,10784.5,-0.32367346682804765
2011-04-13,10814.6,10867.1,10767.6,10786.0,219983000,10786.0,-0.3235793975805389
2011-04-14,10747.8,10751.1,10558.1,10622.7,261200000,10622.7,-0.33382040299265625
2011-04-15,10647.2,10647.6,10484.7,10558.6,325846000,10558.6,-0.33784029550286276
2011-04-18,10574.8,10574.8,10289.1,10344.9,349381000,10344.9,-0.35124202763127366
2011-04-19,10355.6,10433.2,10306.3,10376.5,209775000,10376.5,-0.3492603021504229
2011-04-20,10461.4,10569.9,10433.3,10535.4,240176000,10535.4,-0.33929523319766464
2011-04-21,10603.8,10634.1,10528.5,10584.1,176355000,10584.1,-0.3362411182952144
2011-04-26,10574.9,10700.2,10546.9,10650.6,169712000,10650.6,-0.3320707149889939
2011-04-27,10673.1,10769.7,10619.4,10740.9,194417000,10740.9,-0.3264077462889682
2011-04-28,10809.9,10890.0,10809.0,10867.8,182170000,10867.8,-0.3184494879497294
2011-04-29,10889.3,10911.3,10805.5,10878.9,140332000,10878.9,-0.31775337551816474
2011-05-02,10917.4,10928.2,10841.8,10877.3,139444000,10877.3,-0.3178537160488407
2011-05-03,10865.0,10865.6,10775.8,10825.6,184413000,10825.6,-0.32109596944630836
2011-05-04,10812.8,10883.1,10686.9,10712.6,198034000,10712.6,-0.3281825194252995
2011-05-05,10749.3,10758.9,10574.2,10627.3,215316000,10627.3,-0.33353192396696296
2011-05-06,10544.5,10628.4,10481.6,10610.5,258553000,10610.5,-0.3345854995390607
2011-05-09,10546.9,10548.3,10368.1,10396.3,227390000,10396.3,-0.34801858808330777
2011-05-10,10401.5,10498.1,10337.2,10474.4,222694000,10474.4,-0.3431207159296863
2011-05-11,10527.5,10590.3,10461.4,10531.5,154751000,10531.5,-0.3395398132411873
2011-05-12,10459.7,10487.6,10383.9,10487.6,187824000,10487.6,-0.3422929065516094
2011-05-13,10512.1,10566.9,10321.8,10356.5,229668000,10356.5,-0.3505145587838727
2011-05-16,10280.2,10390.9,10245.1,10363.9,166999000,10363.9,-0.35005048382949633
2011-05-17,10366.6,10431.8,10306.1,10306.4,177689000,10306.4,-0.3536564716506644
2011-05-18,10381.3,10387.0,10269.4,10343.7,181075000,10343.7,-0.35131728302928056
2011-05-19,10378.5,10421.0,10286.6,10376.8,189011000,10376.8,-0.3492414883009213
2011-05-20,10389.3,10449.9,10190.9,10226.6,281705000,10226.6,-0.35866095561812905
2011-05-23,10110.5,10122.5,10030.6,10082.7,220742000,10082.7,-0.3676853320958001
2011-05-24,10076.8,10177.6,10074.4,10115.9,182084000,10115.9,-0.3656032660842734
2011-05-25,10054.2,10243.2,10042.6,10217.4,212616000,10217.4,-0.35923791366951596
2011-05-26,10252.2,10349.0,10158.9,10203.2,215045000,10203.2,-0.36012843587926524
2011-05-27,10289.7,10365.8,10203.7,10261.2,179685000,10261.2,-0.3564910916422609
2011-05-30,10239.2,10277.7,10224.9,10257.6,78572000,10257.6,-0.3567168578362818
2011-05-31,10326.3,10500.6,10325.0,10476.0,257020000,10476.0,-0.3430203753990103
2011-06-01,10506.0,10549.0,10313.3,10339.3,202365000,10339.3,-0.35159321948863953
2011-06-02,10254.1,10375.2,10214.6,10261.0,154967000,10261.0,-0.3565036342085953
2011-06-03,10287.3,10315.5,10133.0,10285.7,188748000,10285.7,-0.3549546272662849
2011-06-06,10278.7,10280.1,10123.3,10157.7,150677000,10157.7,-0.3629818697203634
2011-06-07,10162.0,10206.9,10124.7,10168.1,145107000,10168.1,-0.3623296562709696
2011-06-08,10137.9,10148.1,10050.5,10082.5,162621000,10082.5,-0.36769787466213455
